"landing_site","acuaculture_production","est_aquaculture_production","est_aquaculture_certainty","aquacultureFLAG_landing.site"
"TOLUCA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA MIGUEL HIDALGO Y COSTILLA","NO","no, as reported","estimate is consistent with original report","NO"
"TEHUECO, VEGA Y DIQUE EL RI$ON","NO","no, as reported","estimate is consistent with original report","NO"
"VAREJONAL","NO","no, as reported","estimate is consistent with original report","NO"
"EL SALTO (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"AURELIO VENANCINES VIZCAINA (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"DIQUE LOS BECOS","NO","no, as reported","estimate is consistent with original report","NO"
"DIQUE LA PRIMAVERA","NO","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA ADOLFO LOPEZ MATEOS","NO","no, as reported","estimate is consistent with original report","NO"
"ADOLFO LOPEZ MATEOS (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA SANALONA","NO","no, as reported","estimate is consistent with original report","NO"
"SALTO CHICO","NO","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA AURELIO VENANCINI (EL SALTO)","NO","no, as reported","estimate is consistent with original report","NO"
"ORILLA DEL RIO HUMAYA","NO","no, as reported","estimate is consistent with original report","NO"
"RIO TAMAZULA","NO","no, as reported","estimate is consistent with original report","NO"
"SANALONA (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"EL MANGUITO","NO","no, as reported","estimate is consistent with original report","NO"
"JOSEFA ORTIZ DE DOMINGUEZ (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA JOSE LOPEZ PORTILLO (COMEDERO)","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA EL NOGAL","NO","no, as reported","estimate is consistent with original report","NO"
"SANTO DOMINGO","NO","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE ABOCHO","NO","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO #108","NO","no, as reported","estimate is consistent with original report","NO"
"MEZCALA","NO","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE CAJITITLAN","NO","no, as reported","estimate is consistent with original report","NO"
"LA ALAMEDA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LA GUADALUPE","NO","no, as reported","estimate is consistent with original report","NO"
"SAN PEDRO ITZICAN","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO LA SABANITA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LUIS DONALDO COLOSIO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN JOSE","NO","no, as reported","estimate is consistent with original report","NO"
"LA TUNA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA DE LA VEGA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA ALCAPARROSA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LA JOYA","NO","no, as reported","estimate is consistent with original report","NO"
"DESAGUE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA POTRERILLOS","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA SANTA ROSA","NO","no, as reported","estimate is consistent with original report","NO"
"EL SALTO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LAGUNILLAS","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA CALDERON","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA TEXCALAME","NO","no, as reported","estimate is consistent with original report","NO"
"FRENTE MESA DE FLORES","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LA SAUCEDA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LA RED","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA OJO DE AGUA","NO","no, as reported","estimate is consistent with original report","NO"
"MESA DE LAS YEGUAS","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA DE PARTIDAS","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA CORRINCHIS","NO","no, as reported","estimate is consistent with original report","NO"
"EL LIMON","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LOS SAUCES","NO","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE VILLACORONA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA EL JIHUITE","NO","no, as reported","estimate is consistent with original report","NO"
"SAN JUAN","NO","no, as reported","estimate is consistent with original report","NO"
"NOPALERA, LA","NO","no, as reported","estimate is consistent with original report","NO"
"PERDON, EL","NO","no, as reported","estimate is consistent with original report","NO"
"CANCUN","NO","no, as reported","estimate is consistent with original report","NO"
"AGUACALIENTITA","NO","no, as reported","estimate is consistent with original report","NO"
"MUELLE ESCAMERO DE EL FUERTE","NO","no, as reported","estimate is consistent with original report","NO"
"AGUAPAN","NO","no, as reported","estimate is consistent with original report","NO"
"BARRANQUILLA","NO","no, as reported","estimate is consistent with original report","NO"
"EL COMEDERO","NO","no, as reported","estimate is consistent with original report","NO"
"DIQUE MARIQUITAS","NO","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO.134","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA AGUAMILPA","NO","no, as reported","estimate is consistent with original report","NO"
"ARROYO DE SAN PABLO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA PALO VERDE","NO","no, as reported","estimate is consistent with original report","NO"
"LAS BARRANCAS","NO","no, as reported","estimate is consistent with original report","NO"
"BOQUILLA DE ZARAGOZA","NO","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO EL LIMON","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA VISTA HERMOSA","NO","no, as reported","estimate is consistent with original report","NO"
"LOPEZ PORTILLO (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"LA CAMPANA (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"DIQUE NO.3","NO","no, as reported","estimate is consistent with original report","NO"
"LAGUNA DE SAN PEDRO LAGUNILLAS","NO","no, as reported","estimate is consistent with original report","NO"
"LA CORTINA","NO","no, as reported","estimate is consistent with original report","NO"
"EL PERDON","NO","no, as reported","estimate is consistent with original report","NO"
"LOS ARRAYANES","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN ONOFRE","NO","no, as reported","estimate is consistent with original report","NO"
"EL VALLE","NO","no, as reported","estimate is consistent with original report","NO"
"PUENTE SAN PEDRO ANALCO","NO","no, as reported","estimate is consistent with original report","NO"
"ARROYO AGUA BLANCA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LA COLORADA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LA TINAJA","NO","no, as reported","estimate is consistent with original report","NO"
"EL MALECON","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA EL GRANDE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LAS TROJES","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA DE LA LUZ","NO","no, as reported","estimate is consistent with original report","NO"
"COLOMO, EL","NO","no, as reported","estimate is consistent with original report","NO"
"RIO BALUARTE","NO","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO NO.63","NO","no, as reported","estimate is consistent with original report","NO"
"LA PALAPA","NO","no, as reported","estimate is consistent with original report","NO"
"RIO AMECA Y ARROYO DE LOS REYES","NO","no, as reported","estimate is consistent with original report","NO"
"EL GUAMUCHIL","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA JUIQUINAQUE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LOS CIRUELOS","NO","no, as reported","estimate is consistent with original report","NO"
"EL FARITO","NO","no, as reported","estimate is consistent with original report","NO"
"EL TECORI","NO","no, as reported","estimate is consistent with original report","NO"
"RUSIAS NEGRAS","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA EL OCOTE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LAS PINTAS","NO","no, as reported","estimate is consistent with original report","NO"
"EL CIRUELO","NO","no, as reported","estimate is consistent with original report","NO"
"EL PITAYAL","NO","no, as reported","estimate is consistent with original report","NO"
"PIEDRA BOLA","NO","no, as reported","estimate is consistent with original report","NO"
"EL TABACHIN","NO","no, as reported","estimate is consistent with original report","NO"
"ARROYO LOS CAUQUES","NO","no, as reported","estimate is consistent with original report","NO"
"RIO DIQUES Y CANALES","NO","no, as reported","estimate is consistent with original report","NO"
"MAICULIS","NO","no, as reported","estimate is consistent with original report","NO"
"CORTINA","NO","no, as reported","estimate is consistent with original report","NO"
"EL BRASIL","NO","no, as reported","estimate is consistent with original report","NO"
"DISTRITO DE RIEGO #136","NO","no, as reported","estimate is consistent with original report","NO"
"EMBALSE DE AGUAMILPA","NO","no, as reported","estimate is consistent with original report","NO"
"COLORADO DE LA MORA","NO","no, as reported","estimate is consistent with original report","NO"
"NOVILLERO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA DEL AHOGADO","NO","no, as reported","estimate is consistent with original report","NO"
"CASCABELES","NO","no, as reported","estimate is consistent with original report","NO"
"LA SIERRA MOJADA","NO","no, as reported","estimate is consistent with original report","NO"
"LAS TAUNITAS","NO","no, as reported","estimate is consistent with original report","NO"
"EL PASITO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN ANTONIO DE LA CALERA","NO","no, as reported","estimate is consistent with original report","NO"
"TECHOBAMPO","NO","no, as reported","estimate is consistent with original report","NO"
"PASEO DE SAN JUAN","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA DE VALERIO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN ANDRES","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA EL TULE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN IGNACIO","NO","no, as reported","estimate is consistent with original report","NO"
"POTRERO","NO","no, as reported","estimate is consistent with original report","NO"
"ZOQUIPAN","NO","no, as reported","estimate is consistent with original report","NO"
"SAN PEDRO NOLASCO","NO","no, as reported","estimate is consistent with original report","NO"
"AGUAS LITORALES (LOS CABOS)","NO","no, as reported","estimate is consistent with original report","NO"
"BAJO SUR","NO","no, as reported","estimate is consistent with original report","NO"
"SANTA ROSALIITA","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA DE CORONADO","NO","no, as reported","estimate is consistent with original report","NO"
"EL CORRAL","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA LOS MUERTOS","NO","no, as reported","estimate is consistent with original report","NO"
"EL EQUIPALITO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA BALLENAS","NO","no, as reported","estimate is consistent with original report","NO"
"PESQ. MEXICO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA SAN LUCAS","NO","no, as reported","estimate is consistent with original report","NO"
"EL TECOLOTE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA RAMON CORONA","NO","no, as reported","estimate is consistent with original report","NO"
"LA CAIMANZA","NO","no, as reported","estimate is consistent with original report","NO"
"RODRIGUEZ","NO","no, as reported","estimate is consistent with original report","NO"
"BAJO MACHO","NO","no, as reported","estimate is consistent with original report","NO"
"PLAYA EL SALADO","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO ""EL POZO""","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA VINORAMAS","NO","no, as reported","estimate is consistent with original report","NO"
"LAGUNA GOMEZ FARIAS","NO","no, as reported","estimate is consistent with original report","NO"
"AGUA CHALE","NO","no, as reported","estimate is consistent with original report","NO"
"BOCANA SANTO DOMINGO","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA LA VENTANA","NO","no, as reported","estimate is consistent with original report","NO"
"NOPOLO","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA SAN ILDEFONSO","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA ESPIRITU SANTO","NO","no, as reported","estimate is consistent with original report","NO"
"BAJO LA BRUJA","NO","no, as reported","estimate is consistent with original report","NO"
"SAN BRUNO","NO","no, as reported","estimate is consistent with original report","NO"
"DON ABEL","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA EL NOVILLO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA LOS TULES","NO","no, as reported","estimate is consistent with original report","NO"
"ELEHUTE","NO","no, as reported","estimate is consistent with original report","NO"
"ENSENADA DE LOS CARROS (CULT.)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"SAN FRANCISCO","NO","no, as reported","estimate is consistent with original report","NO"
"BOCA DE AZADERO","NO","no, as reported","estimate is consistent with original report","NO"
"SAN JOSE DEL CABO, B.C.S.","NO","no, as reported","estimate is consistent with original report","NO"
"LA PLAYITA","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO SAN LUCAS","NO","no, as reported","estimate is consistent with original report","NO"
"DALITAR","NO","no, as reported","estimate is consistent with original report","NO"
"PIEDRA DEL ASADERO","NO","no, as reported","estimate is consistent with original report","NO"
"MINITAS (EN ISLA SAN JOSE)","NO","no, as reported","estimate is consistent with original report","NO"
"ANTON LIZARDO","NO","no, as reported","estimate is consistent with original report","NO"
"CARRIZALITO","NO","no, as reported","estimate is consistent with original report","NO"
"LITORAL (TOPOLOBAMPO)","NO","no, as reported","estimate is consistent with original report","NO"
"EJIDOS DE BARRON","NO","no, as reported","estimate is consistent with original report","NO"
"BORRASCOSO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA SAN MIGUEL","NO","no, as reported","estimate is consistent with original report","NO"
"LITORAL (MAZATLAN)","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE AGIABAMPO","NO","no, as reported","estimate is consistent with original report","NO"
"CERRO PRIETO","NO","no, as reported","estimate is consistent with original report","NO"
"LOS PUENTES CUATES","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA BACHOCO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA JINCORIS","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE BANDERAS","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA SANTA INES","NO","no, as reported","estimate is consistent with original report","NO"
"CENTENARIO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA BOCA DE SAN BRUNO","NO","no, as reported","estimate is consistent with original report","NO"
"MARISMA DE LAS CABRAS","NO","no, as reported","estimate is consistent with original report","NO"
"LA ATANACIA","NO","no, as reported","estimate is consistent with original report","NO"
"LA VIUDA","NO","no, as reported","estimate is consistent with original report","NO"
"LA BOCANA","NO","no, as reported","estimate is consistent with original report","NO"
"PUERTA DEL FLOJO","NO","no, as reported","estimate is consistent with original report","NO"
"AZTLAN DE LAS GARZAS","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA EL PESCADOR","NO","no, as reported","estimate is consistent with original report","NO"
"MARISMA DE TECUALILLA","NO","no, as reported","estimate is consistent with original report","NO"
"EL CUACOYOLT","NO","no, as reported","estimate is consistent with original report","NO"
"EL PINO","NO","no, as reported","estimate is consistent with original report","NO"
"TEODORO BELTRAN","NO","no, as reported","estimate is consistent with original report","NO"
"POZO DE HACIENDA","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO EL ERMITAÑO","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO MALINES","NO","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO FCO. VILLA","NO","no, as reported","estimate is consistent with original report","NO"
"TORIL, EL","NO","no, as reported","estimate is consistent with original report","NO"
"GRANJA DEL CHUMBEÑO","NO","no, as reported","estimate is consistent with original report","NO"
"EL HUIZACHE","NO","no, as reported","estimate is consistent with original report","NO"
"EL GUAMUCHILITO","NO","no, as reported","estimate is consistent with original report","NO"
"SAN MIGUEL NO. 2","NO","no, as reported","estimate is consistent with original report","NO"
"LOS DIQUES","NO","no, as reported","estimate is consistent with original report","NO"
"AVIACION","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO BECERRA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA SAN ISIDRO","NO","no, as reported","estimate is consistent with original report","NO"
"RIO BARRERA","NO","no, as reported","estimate is consistent with original report","NO"
"ESTANQUE DE LA MORA","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA VIEJA","NO","no, as reported","estimate is consistent with original report","NO"
"EL MEZQUITAN","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA GARABATOS","NO","no, as reported","estimate is consistent with original report","NO"
"ESTANQUE LOMA DEL AIRE","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PRESA CUACUALA","NO","no, as reported","estimate is consistent with original report","NO"
"CORTINA DE LA PRESA LA CAMPANA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA DE HURTADO","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA EL HORNO","NO","no, as reported","estimate is consistent with original report","NO"
"RIO EL TANQUE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA ""CHARCO AZUL""","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA A. OBREGON","NO","no, as reported","estimate is consistent with original report","NO"
"DIQUE LA ENSENADA","NO","no, as reported","estimate is consistent with original report","NO"
"RIO TULE","NO","no, as reported","estimate is consistent with original report","NO"
"FLOREñO, EL","NO","no, as reported","estimate is consistent with original report","NO"
"MATITA, LA","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA LOS HORCONES","NO","no, as reported","estimate is consistent with original report","NO"
"CUAUHTEMOC","NO","no, as reported","estimate is consistent with original report","NO"
"LOS HORCONES (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"EL PRETIL","NO","no, as reported","estimate is consistent with original report","NO"
"RIO SINALOA","NO","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LAGUNA LA PESCA","NO","no, as reported","estimate is consistent with original report","NO"
"EL MOGOTE","NO","no, as reported","estimate is consistent with original report","NO"
"PRESA VICENTE VILLASEÑOR","NO","no, as reported","estimate is consistent with original report","NO"
"DIQUE SANTA ROSA","NO","no, as reported","estimate is consistent with original report","NO"
"PUERTO VALLARTA","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA ENCANTADA (CENTRO)","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA LOBOS (EN LORETO)","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA PILITAS","NO","no, as reported","estimate is consistent with original report","NO"
"ROCA COMSAG","NO","no, as reported","estimate is consistent with original report","NO"
"Faro Santo Domingo","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE CALAMAJUE","NO","no, as reported","estimate is consistent with original report","NO"
"LAZARO CARDENAS","NO","no, as reported","estimate is consistent with original report","NO"
"SITIO AGUA DULCE","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO CUCAPA","NO","no, as reported","estimate is consistent with original report","NO"
"LAS LETRAS","NO","no, as reported","estimate is consistent with original report","NO"
"EUSTAQUIO BUELNA (PRESA)","NO","no, as reported","estimate is consistent with original report","NO"
"RIO COLORADO","NO","no, as reported","estimate is consistent with original report","NO"
"PAREDON AMARILLO","NO","no, as reported","estimate is consistent with original report","NO"
"BATURY ANGOSTURA (CULT)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"AGUAS CONTINENTALES DEL ESTADO DE SINALOA","NO","no, as reported","estimate is consistent with original report","NO"
"CANAL DEL INFIERNILLO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA PAREDONES PRIETOS","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA MIRAMAR","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE LA VINORAMA","NO","no, as reported","estimate is consistent with original report","NO"
"AGUAS LITORALES (LORETO)","NO","no, as reported","estimate is consistent with original report","NO"
"HOBO, EL","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA SANTA ANA","NO","no, as reported","estimate is consistent with original report","NO"
"MAHAHUAL","NO","no, as reported","estimate is consistent with original report","NO"
"EL TIBURON","NO","no, as reported","estimate is consistent with original report","NO"
"LA PALMITA (VARADERO)","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA CONCEPCION B.C.SUR.","NO","no, as reported","estimate is consistent with original report","NO"
"LOS DE A CABALLO","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA DEL CARMEN","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA BOTELLA","NO","no, as reported","estimate is consistent with original report","NO"
"MUELLE PESQUERO NO. 1 (NORTE)","NO","no, as reported","estimate is consistent with original report","NO"
"VENA EL PUYEQUE","NO","no, as reported","estimate is consistent with original report","NO"
"SANTA CRUZ","NO","no, as reported","estimate is consistent with original report","NO"
"PIEDRA SAN ANTONIO","NO","no, as reported","estimate is consistent with original report","NO"
"LA ENSENADA","NO","no, as reported","estimate is consistent with original report","NO"
"EL HECHO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA SALINAS","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA VENECIA","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA CANDELEROS","NO","no, as reported","estimate is consistent with original report","NO"
"VARIOS CAMPOS","NO","no, as reported","estimate is consistent with original report","NO"
"ISLA TIBURON","NO","no, as reported","estimate is consistent with original report","NO"
"MUELLE FISCAL DE LA PAZ","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA VERDE II (GOLFO DE CALIFORNIA)","NO","no, as reported","estimate is consistent with original report","NO"
"CAPOMITOS","NO","no, as reported","estimate is consistent with original report","NO"
"HIGUERA BLANCA","NO","no, as reported","estimate is consistent with original report","NO"
"PUERTO ESCONDIDO (EN LORETO)","NO","no, as reported","estimate is consistent with original report","NO"
"LA ORQUETA (CULT.)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"ASTILLERO NAVARRO","NO","no, as reported","estimate is consistent with original report","NO"
"LAS CUEVITAS","NO","no, as reported","estimate is consistent with original report","NO"
"RIO LAS JUNTAS","NO","no, as reported","estimate is consistent with original report","NO"
"PARAJE VIEJO","NO","no, as reported","estimate is consistent with original report","NO"
"PAREDONES (CULT.)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"PUNTA AMARILLA (O SANTA ROSA)","NO","no, as reported","estimate is consistent with original report","NO"
"LOS ALGODONES","NO","no, as reported","estimate is consistent with original report","NO"
"EL TOMATE","NO","no, as reported","estimate is consistent with original report","NO"
"EL RASTRO","NO","no, as reported","estimate is consistent with original report","NO"
"EL MEZQUITE","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA ADAIR","NO","no, as reported","estimate is consistent with original report","NO"
"BACOREHUIS","NO","no, as reported","estimate is consistent with original report","NO"
"PALMITO DEL VERDE","NO","no, as reported","estimate is consistent with original report","NO"
"LOS VIVEROS","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"SITIO ESTACADA","NO","no, as reported","estimate is consistent with original report","NO"
"AGUA VERDE","NO","no, as reported","estimate is consistent with original report","NO"
"LA MATITA","NO","no, as reported","estimate is consistent with original report","NO"
"LA BAYONA","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO DE SAN CRISTOBAL","NO","no, as reported","estimate is consistent with original report","NO"
"LA PALMA","NO","no, as reported","estimate is consistent with original report","NO"
"LAS DIVISAS Y CARBANERAS","NO","no, as reported","estimate is consistent with original report","NO"
"SAN SEBASTIAN DEL OESTE","NO","no, as reported","estimate is consistent with original report","NO"
"EL TENPLETE","NO","no, as reported","estimate is consistent with original report","NO"
"ARROYO LOS CAUGUES","NO","no, as reported","estimate is consistent with original report","NO"
"LITORAL","NO","no, as reported","estimate is consistent with original report","NO"
"CABO HARO","NO","no, as reported","estimate is consistent with original report","NO"
"CUMBRES DE HUICICILA","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA DE SAN MIGUEL","NO","no, as reported","estimate is consistent with original report","NO"
"EL TORNILLAL","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA LOBOS","NO","no, as reported","estimate is consistent with original report","NO"
"CAMPO DON ABEL","NO","no, as reported","estimate is consistent with original report","NO"
"LAS PALMAS SAN CARLOS","NO","no, as reported","estimate is consistent with original report","NO"
"LITORAL (ROSARIO)","NO","no, as reported","estimate is consistent with original report","NO"
"SAN LUCAS","NO","no, as reported","estimate is consistent with original report","NO"
"LA PUNTITA (VARADERO)","NO","no, as reported","estimate is consistent with original report","NO"
"CANAL CERRALVO","NO","no, as reported","estimate is consistent with original report","NO"
"MUELLE F. RANCHO KUL","NO","no, as reported","estimate is consistent with original report","NO"
"BAHIA DE BARADITO Y ALTAMURA","NO","no, as reported","estimate is consistent with original report","NO"
"ISLOTE LOS GALLLEGOS","NO","no, as reported","estimate is consistent with original report","NO"
"CRUZ DE ELOTA","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA SANTA MARIA","NO","no, as reported","estimate is consistent with original report","NO"
"LAS SALINAS","NO","no, as reported","estimate is consistent with original report","NO"
"CANDELONES","NO","no, as reported","estimate is consistent with original report","NO"
"EL QUEMADO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA GRANDE","NO","no, as reported","estimate is consistent with original report","NO"
"ENSENADA EL MUERTO","NO","no, as reported","estimate is consistent with original report","NO"
"SAN MARCOS (EN ISLA SAN MARCOS)","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO LA PALICIENTA","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA REFUGIO (I. ANGEL DE LA GUARDA)","NO","no, as reported","estimate is consistent with original report","NO"
"SAN PEDRO","NO","no, as reported","estimate is consistent with original report","NO"
"PUNTA TRINIDAD","NO","no, as reported","estimate is consistent with original report","NO"
"MEDINA","NO","no, as reported","estimate is consistent with original report","NO"
"MALECOM SEYBAPLAYA","NO","no, as reported","estimate is consistent with original report","NO"
"LA VENTANA (CULT.)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"EL BORRASCOSO","NO","no, as reported","estimate is consistent with original report","NO"
"EL AGUAJITO","NO","no, as reported","estimate is consistent with original report","NO"
"ESTERO DE PONCE (CULT)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"SAN MATEO","NO","no, as reported","estimate is consistent with original report","NO"
"ZATAYA","NO","no, as reported","estimate is consistent with original report","NO"
"LAS SALINITAS","NO","no, as reported","estimate is consistent with original report","NO"
"TAPO POZO DE LA HACIENDA","NO","no, as reported","estimate is consistent with original report","NO"
"REV. CALIHUEY, POCHOTES VARIOS","NO","no, as reported","estimate is consistent with original report","NO"
"LA DRAGA Y EL PUYEQUE","NO","no, as reported","estimate is consistent with original report","NO"
"POZO MUCIO (CULT)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"ANTONIO R. LAURELES","NO","no, as reported","estimate is consistent with original report","NO"
"PERICOS","NO","no, as reported","estimate is consistent with original report","NO"
"EMBARCADERO LA PERLA","NO","no, as reported","estimate is consistent with original report","NO"
"EL VERDE","NO","no, as reported","estimate is consistent with original report","NO"
"AGUA GRANDE","NO","no, as reported","estimate is consistent with original report","NO"
"SITIO ESTERO EL TAPEIXTE","NO","no, as reported","estimate is consistent with original report","NO"
"EL CUERVO (CULT.)","NO","yes, with high confidence","original report likely misreported; estimate differs from official report because landing site name suggests aquaculture with high confidence","YES"
"LA VINATA","NO","no, as reported","estimate is consistent with original report","NO"
"EL CHILOCOTE","NO","no, as reported","estimate is consistent with original report","NO"
"R/A. BITZAL 5TA. SECC.","NO","no, as reported","estimate is consistent with original report","NO"
"EL SABALO","NO","no, as reported","estimate is consistent with original report","NO"
"CELESTUN","NO","no, as reported","estimate is consistent with original report","NO"
"ESTACION DIMAS","NO","no, as reported","estimate is consistent with original report","NO"
